distribution:  TURBID
sun elevation: 45
sun azimuth:   335
sample points: 300

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)
91,80,0.00240051
52,65,0.0029106
29,61,0.00488734
182,12,0.00421227
210,83,0.00268485
83,12,0.00360904
150,54,0.0011672
193,50,0.00121658
109,50,0.00135837
217,41,0.00173559
169,41,0.00139381
131,40,0.00147612
175,67,0.00163407
124,65,0.00122778
92,38,0.00129421
150,37,0.00163859
188,35,0.00131209
210,61,0.00155471
114,35,0.0017204
89,51,0.00149131
172,54,0.00175998
129,52,0.00112011
145,75,0.00210915
100,61,0.00141812
202,35,0.00160411
226,51,0.00195983
217,30,0.0023136
163,31,0.00203883
126,28,0.00196424
93,27,0.00204606
176,32,0.00148168
149,64,0.00134937
209,50,0.00151316
200,73,0.00181694
227,35,0.00150702
157,45,0.0012943
143,45,0.00129333
191,60,0.00145856
182,44,0.00135485
138,32,0.00149163
81,42,0.00149798
102,34,0.00162695
104,71,0.00148537
195,28,0.00153135
184,27,0.00154642
146,25,0.00170088
121,45,0.00123623
84,32,0.00149306
83,60,0.00153543
115,27,0.00171139
98,45,0.00130813
116,58,0.00105898
232,42,0.00141607
198,42,0.00117741
225,65,0.00142898
138,58,0.000866897
72,48,0.00158206
